ip,domain,spider_type
13.66.139.211,msnbot-13-66-139-211.search.msn.com,Bing
13.66.139.212,msnbot-13-66-139-212.search.msn.com,Bing
13.66.139.213,msnbot-13-66-139-213.search.msn.com,Bing
13.66.139.214,msnbot-13-66-139-214.search.msn.com,Bing
13.66.139.215,msnbot-13-66-139-215.search.msn.com,Bing
13.66.139.216,msnbot-13-66-139-216.search.msn.com,Bing
13.66.139.217,msnbot-13-66-139-217.search.msn.com,Bing
13.66.139.218,msnbot-13-66-139-218.search.msn.com,Bing
13.66.139.219,msnbot-13-66-139-219.search.msn.com,Bing
13.66.139.220,msnbot-13-66-139-220.search.msn.com,Bing
13.66.139.221,msnbot-13-66-139-221.search.msn.com,Bing
13.66.139.222,msnbot-13-66-139-222.search.msn.com,Bing
13.66.139.223,msnbot-13-66-139-223.search.msn.com,Bing
13.66.139.224,msnbot-13-66-139-224.search.msn.com,Bing
13.66.139.225,msnbot-13-66-139-225.search.msn.com,Bing
13.66.139.226,msnbot-13-66-139-226.search.msn.com,Bing
13.66.139.227,msnbot-13-66-139-227.search.msn.com,Bing
13.66.139.228,msnbot-13-66-139-228.search.msn.com,Bing
13.66.139.229,msnbot-13-66-139-229.search.msn.com,Bing
13.66.139.230,msnbot-13-66-139-230.search.msn.com,Bing
13.66.139.231,msnbot-13-66-139-231.search.msn.com,Bing
13.66.139.232,msnbot-13-66-139-232.search.msn.com,Bing
13.66.139.233,msnbot-13-66-139-233.search.msn.com,Bing
13.66.139.234,msnbot-13-66-139-234.search.msn.com,Bing
13.66.139.235,msnbot-13-66-139-235.search.msn.com,Bing
13.66.139.236,msnbot-13-66-139-236.search.msn.com,Bing
13.66.139.237,msnbot-13-66-139-237.search.msn.com,Bing
13.66.139.238,msnbot-13-66-139-238.search.msn.com,Bing
13.66.139.239,msnbot-13-66-139-239.search.msn.com,Bing
13.66.139.240,msnbot-13-66-139-240.search.msn.com,Bing
13.66.139.241,msnbot-13-66-139-241.search.msn.com,Bing
13.66.139.242,msnbot-13-66-139-242.search.msn.com,Bing
13.66.139.243,msnbot-13-66-139-243.search.msn.com,Bing
13.66.139.244,msnbot-13-66-139-244.search.msn.com,Bing
13.66.139.245,msnbot-13-66-139-245.search.msn.com,Bing
13.66.139.246,msnbot-13-66-139-246.search.msn.com,Bing
13.66.139.247,msnbot-13-66-139-247.search.msn.com,Bing
13.66.139.248,msnbot-13-66-139-248.search.msn.com,Bing
13.66.139.249,msnbot-13-66-139-249.search.msn.com,Bing
13.66.139.250,msnbot-13-66-139-250.search.msn.com,Bing
13.66.139.251,msnbot-13-66-139-251.search.msn.com,Bing
13.66.139.252,msnbot-13-66-139-252.search.msn.com,Bing
13.66.139.253,msnbot-13-66-139-253.search.msn.com,Bing
13.66.139.254,msnbot-13-66-139-254.search.msn.com,Bing
13.66.139.255,msnbot-13-66-139-255.search.msn.com,Bing
13.66.144.0,msnbot-13-66-144-0.search.msn.com,Bing
13.66.144.1,msnbot-13-66-144-1.search.msn.com,Bing
13.66.144.2,msnbot-13-66-144-2.search.msn.com,Bing
13.66.144.3,msnbot-13-66-144-3.search.msn.com,Bing
13.66.144.4,msnbot-13-66-144-4.search.msn.com,Bing
13.66.144.5,msnbot-13-66-144-5.search.msn.com,Bing
13.66.144.6,msnbot-13-66-144-6.search.msn.com,Bing
13.66.144.7,msnbot-13-66-144-7.search.msn.com,Bing
13.66.144.8,msnbot-13-66-144-8.search.msn.com,Bing
13.66.144.9,msnbot-13-66-144-9.search.msn.com,Bing
13.66.144.10,msnbot-13-66-144-10.search.msn.com,Bing
13.66.144.11,msnbot-13-66-144-11.search.msn.com,Bing
13.66.144.12,msnbot-13-66-144-12.search.msn.com,Bing
13.66.144.13,msnbot-13-66-144-13.search.msn.com,Bing
13.66.144.14,msnbot-13-66-144-14.search.msn.com,Bing
13.66.144.15,msnbot-13-66-144-15.search.msn.com,Bing
13.66.144.16,msnbot-13-66-144-16.search.msn.com,Bing
13.66.144.17,msnbot-13-66-144-17.search.msn.com,Bing
13.66.144.18,msnbot-13-66-144-18.search.msn.com,Bing
13.66.144.19,msnbot-13-66-144-19.search.msn.com,Bing
13.66.144.20,msnbot-13-66-144-20.search.msn.com,Bing
13.66.144.21,msnbot-13-66-144-21.search.msn.com,Bing
13.66.144.22,msnbot-13-66-144-22.search.msn.com,Bing
13.66.144.23,msnbot-13-66-144-23.search.msn.com,Bing
13.66.144.24,msnbot-13-66-144-24.search.msn.com,Bing
13.66.144.25,msnbot-13-66-144-25.search.msn.com,Bing
13.66.144.26,msnbot-13-66-144-26.search.msn.com,Bing
13.66.144.27,msnbot-13-66-144-27.search.msn.com,Bing
13.66.144.28,msnbot-13-66-144-28.search.msn.com,Bing
13.66.144.29,msnbot-13-66-144-29.search.msn.com,Bing
13.66.144.30,msnbot-13-66-144-30.search.msn.com,Bing
13.66.144.31,msnbot-13-66-144-31.search.msn.com,Bing
13.66.144.32,msnbot-13-66-144-32.search.msn.com,Bing
